"Base","Target","Rate","Fetched At"
"USD","MAD","9.226457","Sun, 24 May 2026 00:02:32 +0000"
"USD","MDL","17.359354","Sun, 24 May 2026 00:02:32 +0000"
"USD","MGA","4193.222387","Sun, 24 May 2026 00:02:32 +0000"
"USD","MKD","53.196269","Sun, 24 May 2026 00:02:32 +0000"
"USD","MMK","2101.36739","Sun, 24 May 2026 00:02:32 +0000"
"USD","MNT","3607.640881","Sun, 24 May 2026 00:02:32 +0000"
"USD","MOP","8.071148","Sun, 24 May 2026 00:02:32 +0000"
"USD","MRU","40.025533","Sun, 24 May 2026 00:02:32 +0000"
"USD","MUR","47.307019","Sun, 24 May 2026 00:02:32 +0000"
"USD","MVR","15.448303","Sun, 24 May 2026 00:02:32 +0000"
"USD","MWK","1744.089955","Sun, 24 May 2026 00:02:32 +0000"
"USD","MXN","17.324745","Sun, 24 May 2026 00:02:32 +0000"
"USD","MYR","3.967134","Sun, 24 May 2026 00:02:32 +0000"
"USD","MZN","63.555117","Sun, 24 May 2026 00:02:32 +0000"
"USD","NAD","16.469328","Sun, 24 May 2026 00:02:32 +0000"
"USD","NGN","1370.152798","Sun, 24 May 2026 00:02:32 +0000"
"USD","NIO","36.822391","Sun, 24 May 2026 00:02:32 +0000"
"USD","NOK","9.265746","Sun, 24 May 2026 00:02:32 +0000"
"USD","NPR","153.411177","Sun, 24 May 2026 00:02:32 +0000"
"USD","NZD","1.708237","Sun, 24 May 2026 00:02:32 +0000"
"USD","OMR","0.384497","Sun, 24 May 2026 00:02:32 +0000"
"USD","PAB","1","Sun, 24 May 2026 00:02:32 +0000"
"USD","PEN","3.416108","Sun, 24 May 2026 00:02:32 +0000"
"USD","PGK","4.360024","Sun, 24 May 2026 00:02:32 +0000"
"USD","PHP","61.667113","Sun, 24 May 2026 00:02:32 +0000"
"USD","PKR","278.93143","Sun, 24 May 2026 00:02:32 +0000"
"USD","PLN","3.655427","Sun, 24 May 2026 00:02:32 +0000"
"USD","PYG","6154.755203","Sun, 24 May 2026 00:02:32 +0000"
"USD","QAR","3.64","Sun, 24 May 2026 00:02:32 +0000"
"USD","RON","4.523715","Sun, 24 May 2026 00:02:32 +0000"
"USD","RSD","101.225759","Sun, 24 May 2026 00:02:32 +0000"
"USD","RUB","71.246735","Sun, 24 May 2026 00:02:32 +0000"
"USD","RWF","1467.358483","Sun, 24 May 2026 00:02:32 +0000"
"USD","SAR","3.75","Sun, 24 May 2026 00:02:32 +0000"
"USD","SBD","7.951238","Sun, 24 May 2026 00:02:32 +0000"
"USD","SCR","13.967533","Sun, 24 May 2026 00:02:32 +0000"
"USD","SDG","508.974686","Sun, 24 May 2026 00:02:32 +0000"
"USD","SEK","9.36517","Sun, 24 May 2026 00:02:32 +0000"
"USD","SGD","1.279729","Sun, 24 May 2026 00:02:32 +0000"
"USD","SHP","0.744718","Sun, 24 May 2026 00:02:32 +0000"
"USD","SLE","24.334282","Sun, 24 May 2026 00:02:32 +0000"
"USD","SLL","24334.282116","Sun, 24 May 2026 00:02:32 +0000"
"USD","SOS","571.205288","Sun, 24 May 2026 00:02:32 +0000"
"USD","SRD","37.344837","Sun, 24 May 2026 00:02:32 +0000"
"USD","SSP","4808.615462","Sun, 24 May 2026 00:02:32 +0000"
"USD","STN","21.118089","Sun, 24 May 2026 00:02:32 +0000"
"USD","SYP","113.995752","Sun, 24 May 2026 00:02:32 +0000"
"USD","SZL","16.469328","Sun, 24 May 2026 00:02:32 +0000"
"USD","THB","32.668743","Sun, 24 May 2026 00:02:32 +0000"
"USD","TJS","9.275832","Sun, 24 May 2026 00:02:32 +0000"
"USD","TMT","3.499564","Sun, 24 May 2026 00:02:32 +0000"
"USD","TND","2.910102","Sun, 24 May 2026 00:02:32 +0000"
"USD","TOP","2.364183","Sun, 24 May 2026 00:02:32 +0000"
"USD","TRY","45.711913","Sun, 24 May 2026 00:02:32 +0000"
"USD","TTD","6.766359","Sun, 24 May 2026 00:02:32 +0000"
"USD","TVD","1.402533","Sun, 24 May 2026 00:02:32 +0000"
"USD","TWD","31.485244","Sun, 24 May 2026 00:02:32 +0000"
"USD","TZS","2584.860124","Sun, 24 May 2026 00:02:32 +0000"
"USD","UAH","44.269652","Sun, 24 May 2026 00:02:32 +0000"
"USD","UGX","3753.210879","Sun, 24 May 2026 00:02:32 +0000"
"USD","UYU","40.343929","Sun, 24 May 2026 00:02:32 +0000"
"USD","UZS","12089.389234","Sun, 24 May 2026 00:02:32 +0000"
"USD","VES","530.5047","Sun, 24 May 2026 00:02:32 +0000"
"USD","VND","26227.124332","Sun, 24 May 2026 00:02:32 +0000"
"USD","VUV","118.573063","Sun, 24 May 2026 00:02:32 +0000"
"USD","WST","2.69061","Sun, 24 May 2026 00:02:32 +0000"
"USD","XAF","565.41055","Sun, 24 May 2026 00:02:32 +0000"
"USD","XCD","2.7","Sun, 24 May 2026 00:02:32 +0000"
"USD","XCG","1.79","Sun, 24 May 2026 00:02:32 +0000"
"USD","XDR","0.731294","Sun, 24 May 2026 00:02:32 +0000"
"USD","XOF","565.41055","Sun, 24 May 2026 00:02:32 +0000"
"USD","XPF","102.859748","Sun, 24 May 2026 00:02:32 +0000"
"USD","YER","238.703614","Sun, 24 May 2026 00:02:32 +0000"
"USD","ZAR","16.469365","Sun, 24 May 2026 00:02:32 +0000"
"USD","ZMW","18.86532","Sun, 24 May 2026 00:02:32 +0000"
"USD","ZWG","26.3216","Sun, 24 May 2026 00:02:32 +0000"
"USD","ZWL","26.3216","Sun, 24 May 2026 00:02:32 +0000"
